;undefined;undefined;undefined
704;200;false;#000000
703;199;true;#000000
701;199;true;#000000
698;211;true;#000000
697;215;true;#000000
697;226;true;#000000
696;232;true;#000000
695;234;true;#000000
694;236;true;#000000
691;236;true;#000000
691;235;true;#000000
689;234;true;#000000
689;237;true;#000000
689;241;true;#000000
693;250;true;#000000
694;253;true;#000000
692;254;true;#000000
679;254;true;#000000
641;252;true;#000000
596;248;true;#000000
537;246;true;#000000
515;247;true;#000000
510;251;true;#000000
507;261;true;#000000
507;268;true;#000000
509;275;true;#000000
509;277;true;#000000
507;277;true;#000000
498;275;true;#000000
474;264;true;#000000
455;256;true;#000000
335;194;false;#000000
334;193;true;#000000
333;193;true;#000000
330;193;true;#000000
322;196;true;#000000
320;199;true;#000000
318;203;true;#000000
318;205;true;#000000
316;206;true;#000000
306;206;true;#000000
289;206;true;#000000
266;205;true;#000000
249;204;true;#000000
244;204;true;#000000
244;207;true;#000000
247;217;true;#000000
267;237;true;#000000
273;244;true;#000000
276;247;true;#000000
276;246;true;#000000
276;244;true;#000000
266;238;true;#000000
254;236;true;#000000
246;236;true;#000000
239;236;true;#000000
234;243;true;#000000
231;249;true;#000000
228;251;true;#000000
227;251;true;#000000
222;251;true;#000000
216;251;true;#000000
209;251;true;#000000
207;251;true;#000000
206;251;true;#000000
381;147;false;#000000
397;150;true;#000000
424;154;true;#000000
437;154;true;#000000
438;154;true;#000000
438;152;true;#000000
438;144;true;#000000
438;139;true;#000000
438;138;true;#000000
444;140;true;#000000
455;145;true;#000000
486;156;true;#000000
525;169;true;#000000
574;178;true;#000000
594;178;true;#000000
603;178;true;#000000
607;172;true;#000000
607;163;true;#000000
608;153;true;#000000
609;150;true;#000000
610;149;true;#000000
615;149;true;#000000
623;149;true;#000000
635;151;true;#000000
643;151;true;#000000
652;145;true;#000000
669;27;false;#000000
669;26;true;#000000
668;26;true;#000000
663;24;true;#000000
658;23;true;#000000
647;19;true;#000000
641;19;true;#000000
638;18;true;#000000
633;20;true;#000000
630;25;true;#000000
622;33;true;#000000
618;36;true;#000000
616;38;true;#000000
615;38;true;#000000
614;38;true;#000000
614;39;true;#000000
614;47;true;#000000
615;61;true;#000000
630;78;true;#000000
640;87;true;#000000
642;90;true;#000000
640;91;true;#000000
622;83;true;#000000
593;72;true;#000000
567;62;true;#000000
548;58;true;#000000
539;58;true;#000000
536;62;true;#000000
536;68;true;#000000
536;76;true;#000000
534;81;true;#000000
530;84;true;#000000
510;85;true;#000000
498;85;true;#000000
453;71;true;#000000
417;65;true;#000000
380;62;true;#000000
356;62;true;#000000
341;62;true;#000000
339;62;true;#000000
338;62;true;#000000
334;60;true;#000000
328;57;true;#000000
320;52;true;#000000
295;37;true;#000000
266;22;true;#000000
230;7;true;#000000
224;6;true;#000000
223;6;true;#000000
222;6;true;#000000
219;7;true;#000000
207;8;true;#000000
193;8;true;#000000
176;2;true;#000000
139;19;false;#000000
137;17;true;#000000
135;17;true;#000000
132;16;true;#000000
125;15;true;#000000
119;15;true;#000000
118;15;true;#000000
116;17;true;#000000
116;25;true;#000000
116;31;true;#000000
116;34;true;#000000
115;36;true;#000000
86;38;true;#000000
43;29;true;#000000
4;43;false;#000000
4;42;true;#000000
5;42;true;#000000
9;44;true;#000000
14;129;true;#000000
14;130;true;#000000
12;130;true;#000000
11;130;true;#000000
10;130;true;#000000
10;125;true;#000000
10;117;true;#000000
18;102;true;#000000
29;89;true;#000000
36;79;true;#000000
39;75;true;#000000
42;72;true;#000000
43;70;true;#000000
44;67;true;#000000
44;65;true;#000000
45;62;true;#000000
45;61;true;#000000
45;61;false;#000000
